split,score_method,threshold,coverage,risk,accepted_known_rows,total_known_rows
known_test,max_logit,6.372812271118164,0.8199065966141272,0.029903880384478443,2809,3426
known_test,max_logit,6.522814989089966,0.8099824868651488,0.028828828828828867,2775,3426
known_test,max_logit,6.671271800994873,0.8000583771161704,0.026997446187522756,2741,3426
known_test,max_logit,6.8168230056762695,0.7898423817863398,0.02328159645232819,2706,3426
known_test,max_logit,6.944161415100098,0.7799182720373613,0.021706586826347296,2672,3426
known_test,max_logit,7.099554538726807,0.7699941622883829,0.019711902956785488,2638,3426
known_test,max_logit,7.2459282875061035,0.7600700525394045,0.018817204301075252,2604,3426
known_test,max_logit,7.405122637748718,0.7498540572095739,0.016738030362008605,2569,3426
known_test,max_logit,7.548917531967163,0.7399299474605955,0.015779092702169595,2535,3426
known_test,max_logit,7.657550930976868,0.7300058377116171,0.015193922431027573,2501,3426
known_test,max_logit,7.780465602874756,0.7200817279626387,0.014997973246858587,2467,3426
known_test,max_logit,7.911211013793945,0.7098657326328079,0.01398026315789469,2432,3426
known_test,max_logit,8.042270183563232,0.6999416228838296,0.01334445371142623,2398,3426
known_test,max_logit,8.149940490722656,0.6900175131348512,0.012690355329949221,2364,3426
known_test,max_logit,8.281856536865234,0.6800934033858728,0.011158798283261828,2330,3426
known_test,max_logit,8.397802591323853,0.669877408056042,0.011328976034858385,2295,3426
known_test,max_logit,8.509148597717285,0.6599532983070636,0.010172490048651062,2261,3426
known_test,max_logit,8.611752271652222,0.6500291885580852,0.009878760664571162,2227,3426
known_test,max_logit,8.748119354248047,0.6401050788091068,0.00911992704058373,2193,3426
known_test,max_logit,8.889161348342896,0.6298890834792761,0.008341056533827662,2158,3426
known_test,max_logit,8.996706485748291,0.6199649737302977,0.008474576271186418,2124,3426
known_test,max_logit,9.113741397857666,0.6100408639813193,0.008133971291865993,2090,3426
known_test,max_logit,9.214159965515137,0.6001167542323409,0.007295719844357951,2056,3426
known_test,max_logit,9.329131841659546,0.5899007589025103,0.00742206828302816,2021,3426
known_test,max_logit,9.46583366394043,0.5799766491535319,0.006542526421741357,1987,3426
